id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,postcode,rich,borough,before_pandemic
17797691,Manhattan Art Haven,70543663,Kelli,Upper East Side,40.76999,-73.94928,Entire home/apt,95.0,1,89,2019-06-21,3.72,1,0,10075,1.0,Manhattan,1
17811033,LARGE LUXURY DESIGNER WALL ST APARTMENT,96735804,E,Financial District,40.70552,-74.00941,Entire home/apt,110.0,7,32,2019-06-13,1.17,1,272,10004,1.0,Manhattan,1
17860607,Super Cozy Luxury Apt,10914834,Heidi,Financial District,40.704640000000005,-74.00715,Entire home/apt,220.0,2,108,2019-07-01,3.92,1,225,10005,1.0,Manhattan,1
17938814,"Beautiful spacious one bedroom, upper east side",55199493,Julia,Upper East Side,40.7729,-73.95738,Entire home/apt,115.0,2,100,2019-06-16,3.67,1,91,10075,1.0,Manhattan,1
18007393,Large 2 bedrooms in Little Italy/Chinatown,106232698,Nicolas,Little Italy,40.717940000000006,-73.99955,Entire home/apt,195.0,4,30,2019-05-22,1.1,1,0,10013,1.0,Manhattan,1
18094196,Upper East Side Full 1-Bedroom Apartment,16307239,Julia,Upper East Side,40.7709,-73.95508000000001,Entire home/apt,130.0,7,5,2019-07-06,0.21,1,14,10021,1.0,Manhattan,1
18175675,2400 Sq Ft Tribeca Loft w/Private Elevator,2834168,Jessica,Tribeca,40.71893,-74.0033,Entire home/apt,350.0,6,20,2019-06-30,0.74,1,25,10013,1.0,Manhattan,1
18214015,Quiet Private Bedroom in the heart of Little Italy,41874064,Sheba,Little Italy,40.71836,-73.99776999999999,Private room,90.0,1,106,2019-07-02,4.29,2,9,10013,1.0,Manhattan,1
18221864,Lovely 1 BD on the Upper West Side,70601471,Andreas,Upper West Side,40.78906,-73.97731999999999,Entire home/apt,148.0,1,131,2019-06-24,4.9,1,277,10024,1.0,Manhattan,1
18342361,"Romantic Artist's Townhouse, 1 suite: 2 Bd, 1 Bath",126922318,Emily,Upper West Side,40.78975,-73.97154,Private room,250.0,3,78,2019-06-27,2.93,1,246,10024,1.0,Manhattan,1
18358279,Luxury 2 Bedroom Apartment!!,44852596,Luna,Financial District,40.704679999999996,-74.00721999999999,Entire home/apt,130.0,3,19,2019-07-01,0.72,1,244,10005,1.0,Manhattan,1
